announcedate,keydeveventtypeid,headline
2002-06-19,93,BHP Group Limited has filed a Base Prospectus in the amount of €1.54258 billion.
2002-06-19,93,BHP Group has filed a Base Prospectus in the amount of €1.54258 billion.
2002-06-19,93,BHP Group Limited has filed a Base Prospectus in the amount of €1.54258 billion.
2002-06-19,93,"BHP Billiton Ltd. has filed a Shelf Registration in the amount of €1,542.58 million."
2002-06-19,93,BHP Billiton Limited has filed a Base Prospectus in the amount of €1.54258 billion.
2002-06-25,21,"Bhp Billiton Announces Closure Of Pering Lead Zinc Mine, South Africa"
2002-07-08,23,Gallery Resources Limited Signs Agreement With BHP
2002-07-15,137,BHP Billiton Ltd. completed the spin-off of Bluescope Steel Ltd.
2002-07-19,41,BHP Billiton Ltd. Announces the Results from its Neptune-3 Appraisal Well in the Gulf of Mexico
2002-08-08,28,Bhp Billiton Announces Fiscal Year 2002 Results
2002-09-05,23,Far West Announces Agreement With BHP Billiton to Explore for Iron Oxide
2002-09-17,21,Downsizing/Discontinued Operations announcement for BHP Billiton Limited
2002-10-01,41,BHP Billiton Announces Inaugural Eurobond
2002-10-31,28,"BHP Billiton Announces Financial Results For Quarter Ended September 30, 2002"
2002-11-07,23,InterOil Contracts BHP Billiton Falcon Exploration Technology in Papua New Guinea
2003-01-05,16,BHP Billiton Announces Resignation Of Chief Executive And Appoints New Executive
2003-01-06,101,Bhp Billiton Announces Resignation of CEO
2003-01-10,16,Ex-billiton Execs May Be Appointed To BHP Billiton Board
2003-01-19,16,BHP Billiton Announces Executive Changes
2003-02-11,22,Caterpillar Forms Five-Year Alliance with Australian Mining Firm BHP Billiton
2003-02-23,28,BHP Billiton profit falls for the year 2002
2003-02-24,16,BHP Billiton Plc Announces Directorate Change
2003-02-24,16,BHP Billiton Plc Announces Directorate Change
2003-02-25,16,BHP Billiton Ltd. Has Appointed Mike Salamon As Executive Director
2003-04-01,16,Bhp Billiton Ltd. Appoints Miklos Salamon As Executive Director
2003-04-04,31,Bhp Billiton Approves Funding For Phase 1 Development Of Thegreater Angostura Oil And Gas Field
2003-05-23,232,BHP Billiton Ltd. Intends To Buy Back A Maximum Number Of Shares
2003-06-07,22,"Shear Minerals Ltd. and Northern Empire Minerals Ltd., First Kimberlite Intersected, Churchill Diamond Joint Venture"
2003-06-17,23,BHP Billiton and its partners have approved the development of the Escondida Norte copper project
2003-07-02,41,BHP Billiton Ltd. Announces Drilling Results on the Chinook Prospect in the Ultra-Deepwater Gulf of Mexico
2003-07-07,16,BHP Appoints New CIO
2003-08-21,23,"New Exploration Agreement Between Tri Origin And BHP Billiton In Nunavut, Canada"
2003-08-22,80,BHP Billiton Ltd. (ASX:BHP agreed to acquire a 35% stake in AES Drax Holdings Ltd for approximately £95.00 million.
2003-08-22,80,BHP Billiton Ltd. (ASX:BHP agreed to acquire a 35% stake in AES Drax Holdings Ltd for approximately £95.00 million.
2003-08-22,80,BHP Billiton Ltd. (ASX:BHP agreed to acquire a 35% stake in AES Drax Holdings Ltd for approximately £95.00 million.
2003-08-22,80,BHP Billiton Ltd. (ASX:BHP agreed to acquire a 35% stake in AES Drax Holdings Ltd for approximately £95.00 million.
2003-08-22,101,BHP Billiton Ltd. Appoints Mr Goodyear As CEO
2003-08-29,28,"BHP Billiton Announces Profit Rises for the month of june, 2003"
2003-09-04,82,BHP Billiton Ltd. cancelled the transaction to acquire a 35% stake in AES Drax Holdings Ltd.
2003-09-04,82,BHP Billiton Ltd. cancelled the transaction to acquire a 35% stake in AES Drax Holdings Ltd.
2003-09-04,82,BHP Billiton Ltd. cancelled the transaction to acquire a 35% stake in AES Drax Holdings Ltd.
2003-09-04,82,BHP Billiton Ltd. cancelled the transaction to acquire a 35% stake in AES Drax Holdings Ltd.
2004-01-15,44,BHP May Face Coal Strike in South Africa Next Week
2004-01-17,25,BHP Billiton Ltd. Announced that Ok Tedi Mining Ltd. Class Action Dismissed
